,Undergrad - On Campus,Undergrad - Off Campus,Graduate/Professional,Faculty,Staff and Postdocs
17-Aug,0,0,0,0,0
18-Aug,0,1,0,0,0
19-Aug,0,1,0,0,1
20-Aug,2,6,0,0,0
21-Aug,0,0,0,0,3
22-Aug,1,2,0,0,0
23-Aug,1,2,0,0,0
24-Aug,6,15,1,0,3
25-Aug,0,0,0,0,0
26-Aug,4,2,0,0,0
27-Aug,6,3,0,0,0
28-Aug,3,5,1,0,0
29-Aug,1,2,3,0,1
30-Aug,0,0,0,0,0
31-Aug,1,0,0,0,0
1-Sep,8,2,3,1,2
2-Sep,2,4,1,0,1
3-Sep,1,2,0,0,0
4-Sep,2,1,1,0,1
5-Sep,4,5,2,0,0
6-Sep,0,0,0,0,0
7-Sep,1,3,1,0,0
8-Sep,0,0,0,0,0
9-Sep,1,1,0,0,1
10-Sep,1,0,0,0,0
11-Sep,1,1,0,0,1
12-Sep,8,5,2,0,0
13-Sep,2,1,1,0,1
14-Sep,0,0,0,0,2
15-Sep,0,0,0,0,1
16-Sep,1,1,0,0,0
17-Sep,4,2,1,0,0
18-Sep,2,0,1,0,0
19-Sep,2,0,0,0,0
20-Sep,2,4,0,0,0
21-Sep,0,0,0,0,1
22-Sep,2,0,1,0,0
23-Sep,0,5,1,0,1
24-Sep,1,10,0,1,0
25-Sep,2,8,1,0,2
26-Sep,1,3,0,0,0
27-Sep,0,3,0,0,1
28-Sep,0,0,0,0,0
29-Sep,0,3,3,0,1
30-Sep,1,0,0,1,0
1-Oct,0,2,0,0,0
2-Oct,6,8,0,1,0
3-Oct,1,1,0,0,0
4-Oct,1,3,0,0,1
5-Oct,1,0,0,0,1
6-Oct,0,0,0,0,2
7-Oct,6,0,2,0,0
8-Oct,2,1,2,1,2
9-Oct,7,2,0,0,0
10-Oct,1,1,0,0,1
11-Oct,3,3,0,0,0
12-Oct,3,2,0,0,0
13-Oct,0,2,3,0,1
14-Oct,0,4,0,0,2
15-Oct,6,3,2,0,1
16-Oct,3,6,0,1,0
17-Oct,2,4,2,0,1
18-Oct,0,1,1,0,0
19-Oct,2,1,1,0,0
20-Oct,1,1,1,0,0
21-Oct,6,7,2,1,0
22-Oct,12,4,3,1,2
23-Oct,13,15,3,0,8
24-Oct,9,9,0,0,1
25-Oct,5,5,0,0,0
26-Oct,0,0,0,0,1
27-Oct,4,1,2,0,0
28-Oct,4,4,3,0,0
29-Oct,5,7,10,0,0
30-Oct,9,5,9,0,1
31-Oct,4,2,8,1,1
1-Nov,1,1,3,0,0
2-Nov,1,0,0,0,1
3-Nov,9,5,2,2,2
4-Nov,7,6,4,0,1
5-Nov,12,8,3,1,4
6-Nov,9,8,4,0,1
7-Nov,4,15,0,0,0
8-Nov,1,6,6,0,0
9-Nov,2,2,2,0,2
10-Nov,8,7,3,1,1
11-Nov,5,10,3,0,2
12-Nov,11,14,6,0,1
13-Nov,9,9,2,1,1
14-Nov,3,7,2,0,0
15-Nov,2,8,2,0,0